id;Texto;Etiqueta
1;A lo largo de todo el semestre nuestra atención se centró en completar el proyecto a tiempo. Pero solo el 40 por ciento de las calificaciones de la materia se asignaron al proyecto. Así que me gustaría sugerir que se asignen al menos el 50 por ciento de las calificaciones al proyecto para satisfacer el esfuerzo de los estudiantes.;Aprendizaje basado en proyectos
2;"La duración del proyecto de semestre de OOSD debería extenderse hasta el 4to semestre, al igual que en la corriente ICE, porque así los estudiantes podrán desarrollar un mejor producto.";"Aprendizaje basado en proyectos; Estimulación del interés de los estudiantes"
3;Ambos profesores hicieron un buen trabajo al entregar el material de manera eficiente. La clase no fue aburrida.;Claridad de los materiales de clase
4;Aumenten el tiempo asignado para los patrones de diseño porque son de vital importancia.;Estimulación del interés de los estudiantes
5;Serie de conferencias útil;Alineamiento constructivo
6;La serie de conferencias fue buena y bien organizada.;"Estructura del curso; Materiales interactivos"
7;La serie de conferencias es muy buena;Alineamiento constructivo
8;La serie de clases estructurada muy bien;Estructura del curso
9;"""El módulo estuvo bien estructurado. Pero con otros módulos tuvimos un mal momento al manejar el proyecto. Fue un semestre difícil""";"Aprendizaje basado en proyectos; Estructura del curso"
10;"La serie de clases fue buena, pero el proyecto del semestre fue realmente difícil.";"Aprendizaje basado en proyectos; Estructura del curso"
11;Es mejor si puedes proporcionar los códigos de ejemplo que se discutieron en la clase para entender los conceptos de manera más clara.;Claridad de los materiales de clase
12;"""En general, las clases fueron buenas. Pero hubiera sido mejor si los Patrones de Diseño se hubieran enseñado como en el medio de la serie de clases. Las últimas tres semanas no nos dieron suficiente tiempo para trabajar con los patrones de diseño.""";Desorganización
13;"Debido al proyecto de semestre, obtuvimos experiencia práctica sobre cómo se implementa un sistema de información real.";"Alineamiento constructivo; Aprendizaje basado en proyectos; Ejemplificación contextualizada"
14;Esperaba más ejemplos prácticos sobre patrones de diseño.;"Alineamiento constructivo; No se estimulan conexiones o analogías"
15;Sería mejor si se discutieran más ejemplos relevantes en la clase relacionados con patrones de diseño.;Ejemplificación contextualizada
16;"Las clases fueron realmente geniales. Los ejercicios en clase ayudaron mucho a entender el lado práctico de la teoría que aprendimos. Tener un examen de mitad de período y tener cuestionarios en clase después de cada clase es también algo bueno. Aparte de eso, la evaluación del proyecto habría sido mejor si se hubiera evaluado la arquitectura de múltiples capas. Esto se debe principalmente a que pasamos la mayor parte del tiempo del proyecto diseñando el interior de la aplicación en lugar de la interfaz gráfica de usuario. Por lo tanto, algún comentario sobre eso nos habría ayudado mucho. Excepto por eso, el proyecto de semestre fue una gran experiencia.";"Aprendizaje basado en proyectos; Estimulación del interés de los estudiantes; Retroalimentación inoportuna"
17;"La serie de clases fue muy buena. Si hubiéramos tenido más tiempo para discutir ejemplos de codificación, habría sido mejor para entender el uso de algunos conceptos.";"Desorganización; Estructura del curso; Fomento de preguntas y discusiones"
18;La serie de clases en general fue buena;Estructura del curso
19;Uno de los buenos profesores... por favor no cambien al profesor en el futuro...;Relación cercana
20;Esperaba más ejercicios y ejemplos prácticos similares a las preguntas de examen y a cosas prácticas.;Proveer desafíos intelectuales
21;La serie de conferencias se puede recomendar como buena.;"Alineamiento constructivo; Estimulación del interés de los estudiantes"
22;La explicación de la clase es muy buena.;"Claridad y comprensibilidad de las explicaciones; Modelado"
23;"En general, el ciclo de conferencias se puede recomendar como bueno.";"Alineamiento constructivo; Estimulación del interés de los estudiantes"
25;"La conferencia sobre patrones de diseño no tuvo mucho tiempo asignado, además, los ejemplos y las aplicaciones no fueron suficientes.";"Alineamiento constructivo; Desorganización; Objetivos desbalanceados"
26;Sería útil para nosotros que puedas proporcionar notas de clase impresas (diapositivas).;Claridad de los materiales de clase
27;La profesora enseñó bien.;Claridad y comprensibilidad de las explicaciones
28;"Sería genial tener más atención en los proyectos, ya que al principio no tenemos idea de cómo empezar a implementarlos.";"Aprendizaje basado en proyectos; Falta de tareas preparatorias"
29;"Algunas explicaciones fueron realmente difíciles de entender, pero algunos estudiantes sí pudieron. Sería mejor si las explicaciones fueran claras y simples enough, para que hasta los estudiantes que son débiles en la materia también tengan la oportunidad de entender.";"Andamiaje inadecuado o insuficiente; Ausencia de acompañamiento; Ausencia de modelación; Falta de tareas preparatorias; Sin aplicación de conocimientos y habilidades en diferentes contextos"
30;"Es mejor si se proporcionan las diapositivas de la presentación antes de la clase, así podemos estudiarlas antes de venir a la clase.";Desorganización
31;"""Todo está bien. Necesitamos más ejemplos resueltos""";No se estimulan conexiones o analogías
32;Sería mejor si pudieras disminuir la velocidad de las clases.;Andamiaje inadecuado o insuficiente
33;"""El proyecto fue una buena experiencia.""";"Alineamiento constructivo; Aprendizaje basado en problemas; Estimulación del interés de los estudiantes"
34;"En general, la serie de clases fue buena.";"Alineamiento constructivo; Estructura del curso"
35;"Hubiera sido mejor si cosas como patrones de diseño se hubieran enseñado antes, para que tuviéramos más tiempo para intentar utilizarlos en nuestro proyecto. Este módulo es genial porque podemos implementar lo que aprendemos y darnos cuenta del valor que tienen :)";"Alineamiento constructivo; Aplicación del conocimiento; Aprendizaje basado en proyectos; Desorganización; Estimulación del interés de los estudiantes"
36;La serie de conferencias fue buena;"Alineamiento constructivo; Estimulación del interés de los estudiantes"
37;Impresionado por lo que se nos enseñó y la forma en que se nos enseñó.;Claridad y comprensibilidad de las explicaciones
38;El sílabo y la serie de clases fue buena. Sería mejor si el profesor puede subir las diapositivas a moodle antes de la clase.;"Alineamiento constructivo; Claridad de los materiales de clase; Desorganización; Estructura del curso"
39;"""Realmente aprendí muchas cosas relacionadas con la materia y con la industria. El libro de texto del módulo también me dio mucho conocimiento sobre las metodologías. Señora, realmente disfruté mucho de su enseñanza y de sus clases. Las clases me dieron mucho conocimiento, tiempo para pensar en cómo podemos aplicar essas cosas en nuestro proyecto y también me dieron confianza para aprender. Espero que esas cosas sean realmente útiles en mi futuro. Muchas gracias por su valiosa guía. Le deseo un gran futuro para enseñar a muchos más estudiantes.""";"Alineamiento constructivo; Aprendizaje basado en proyectos; Claridad de los materiales de clase; Claridad y comprensibilidad de las explicaciones; Relación cercana"
40;"""Bueno. Se interesó por cada estudiante individualmente""";"Entusiasmo del profesor sobre el curso; Relación cercana; Sensibilidad del profesor al nivel y progreso de la clase"
41;Más ejercicios ayudan a aprender bien.;"Falta de tareas preparatorias; Proveer desafíos intelectuales"
